Wholesaler_Name,Website,Contact_Name,Email,Phone,Address,Supplier_Type,Product_Categories,MOQ_Info,Amazon_FBA_Friendly,Authorization_Available,Catalog_Access,Notes
Keystone Automotive,https://www.keystoneautomotive.com,Kurt Kincel (eCommerce),kjkincel@key-stone.com,800-521-9999,"44 Tunkhannock Ave, Exeter, PA 18643",Authorized Distributor,"Automotive aftermarket, automotive accessories, RV accessories","300,000+ SKUs, 800+ suppliers",Trade accounts only,Yes,Trade account required,"World's leading wholesale distributor, division of LKQ Corporation, next-day delivery"
SnS Pet (S&S Pet Supplies),https://snspet.com,N/A,Contact through website,707-745-3557,"840 Eubanks Drive Suite A, Vacaville, CA 95688",Authorized Distributor,"Pet supplies: dogs, cats, fish, birds, reptiles, small animals","10,000+ products",Check policies,Yes,Dealer account,"Established 1970, services Northern CA and Northern Nevada market"
Pet Edge (Boss PetEdge),https://www.bosspetedge.com,Dealer Services Team,"order@PetEdge.com, support@PetEdge.com, DealerServices@BossPetEdge.com","800-738-3343, 888-876-2567","5 Cherry Hill Drive, Danvers, MA 01923",Authorized Distributor,"Wholesale pet supplies, grooming equipment, pet care products",Varies by product,Yes,Yes,Dealer account required,"Largest supplier to pet care professionals and independent retailers"
PJM Distributions,https://pjmdistribution.com,"David Peterson (President), Brad Chow (GM)",Contact through website,604-940-9990,"6951 72 St Unit 114, Delta, BC V4G 0A2, Canada",Authorized Distributor,"Baby products, toys, baby gear, baby essentials",Varies by product,Check cross-border policies,Yes,Account required,"Canadian distributor, established 1996, serves US and Canadian retailers"
KEY Company,https://keycompanyusa.com,N/A,Contact through website,See website,USA-based,Authorized Distributor,"Rice cookers, kitchen appliances, cookware, housewares",Volume pricing available,Check policies,Yes,Wholesale account application,"Top US distributor of quality kitchenware, supplies e-commerce sellers"
uOffice Supply,https://www.uofficesupply.com,Customer Service (uBoxes),ecare@uboxes.com,877-826-9371,"2201 SW 145th Ave Suite 207, Miramar, FL 33027",Direct Importer/Distributor,"Office supplies, shipping supplies, moving supplies",Volume discounts - larger orders = greater savings,Yes,Yes,Online ordering,"Direct importer with competitive pricing, ships same day before 2pm, multiple US fulfillment centers"
UTN Wholesale,https://utnwholesale.com,Sam Nathan (CEO),"orders@utnwholesale.com, info@utndistributors.com",586-283-9782,"5548 Stockton Drive, Rockford, IL 61109",Authorized Distributor,"Personal care, household items, food and beverages, electronics",Bulk quantities,Yes - ships directly to FBA,Yes,Account required,"Specializes in Amazon and Walmart sellers, offers FBA prep services, accepts orders via email/WhatsApp"
CKB Products Wholesale,https://www.ckbproducts.com,Customer Service,Contact through website,682-414-4287,"8900 Directors Row, Dallas, TX 75247",Wholesale Distributor,"Sporting goods, camping gear, BBQ sets, personalized items, general merchandise",No minimum order,Check policies,Check authorization,Online catalog,"No minimum order requirement, ships Mon-Fri 9am-4pm"
TopDawg,https://topdawg.com,Support Team,Contact through website,See contact page,"Fort Lauderdale, FL (HQ)",Dropship/Wholesale Platform,"500,000+ products across all major categories",Varies by supplier,Yes - platform includes FBA sellers,Varies by supplier,Platform membership required,"Dropship platform connecting retailers with 500+ US wholesalers, established 2004"
BeautyJoint,https://beautyjoint.com,Wholesale Team,wholesale@beautyjoint.com,213-283-6547,"1636 W 8th St Suite 200, Los Angeles, CA 90017",Authorized Distributor,"Cosmetics, skincare, wholesale makeup from major brands (Ardell, L.A. Girl, Milani, Wet N Wild, etc.)","See wholesale page for MOQ",Yes,Yes - authorized distributor,Wholesale account application,"Authorized USA distributor, hours Mon-Fri 8am-5pm PST"
Sundberg America,https://www.sundbergamerica.com,Customer Service,Contact through website,800-621-9190,19 locations across Midwest and Montana,Authorized Distributor,"Appliance parts, HVAC parts, tools, contractor supplies","See application for terms",Primarily serves contractors,Yes,Credit application required,"Over 100 years in business, serves contractors and repair businesses, 19 distribution centers"
Golden Eagle Distributors,https://goldeneagledistributors.com,N/A,Contact through website,See website,"975 Bryn Mawr Ave, Bensenville, IL",Wholesale Distributor,"General merchandise, beverages, automotive supplies, smoke accessories",Free shipping over $1500,Check policies,Check brands,Online catalog,"Large wholesale distributor, primarily serves convenience stores, gas stations, retail outlets"
QM Distributors,https://qmdistributors.com,Customer Service,Contact through website,786-759-0203,"3140 W 84th St #7, Hialeah, FL 33018",Authorized Distributor,"Tools, home improvement, grocery, health, beauty, household essentials",Account approval required,Yes - welcomes FBA and WFS sellers,Yes,Account application required,"Hours Mon-Fri 9am-5pm, Sat 9am-3pm, serves online retailers, FBA, and WFS sellers"
Versa Goods Distributors,https://versagoodsdistributors.com,Wholesale Team,"wholesale@versagoodsdistributors.com, accounts@versagoodsdistributors.com, shipments@versagoodsdistributors.com",See website,"Coker Street Irving TX 75062 (US), Bellshill Scotland (UK)",Wholesale Distributor,"Tools, home improvement, automotive, toys, sports/outdoors, home/kitchen",Varies by category,Yes,Check by brand,Contact for catalog access,"Serves US, UK, and Europe, hours Mon-Fri 9am-6pm, international wholesale distributor"

ADDITIONAL VETTED SOURCES (No direct contact yet - for expansion):
WholesaleCentral.com - Directory of 1400+ FBA-friendly distributors
SaleHoo - Paid directory ($299/year) with 8000+ vetted suppliers
Worldwide Brands - One-time fee directory with certified wholesalers
ThomasNet - Free US manufacturer directory

RED FLAGS - DO NOT USE:
Reliable Distributors LLC (reliabledistributorsllc.com) - Multiple fraud allegations on Trustpilot
endistribution.com (EN Distribution) - Customer reports of non-delivery after payment, no response to emails/calls
